"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"He L.; Hausman H.; Pajonk F.","He, Ling (56514397900); Hausman, Hannah (59245024100); Pajonk, Frank (57213564751)","56514397900; 59245024100; 57213564751","Generative Artificial Intelligence: A New Frontier of Scientific Misconduct?","2024","International Journal of Radiation Oncology Biology Physics","120","5","","1210","1213","3","1","10.1016/j.ijrobp.2024.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200387047&doi=10.1016%2fj.ijrobp.2024.03.026&partnerID=40&md5=13aea75322e946185070b2f96d1bdbfb","[No abstract available]","","eosin; hematoxylin; computer assisted tomography; Editorial; generative artificial intelligence; histology; human; image manipulation; large language model; nonhuman; scientific misconduct; Western blotting; editorial","Editorial","Final","","Scopus","2-s2.0-85200387047"
"Bailey H.E.; Carter-Templeton H.; Peterson G.M.; Oermann M.H.; Owens J.K.","Bailey, Hannah E. (58160381700); Carter-Templeton, Heather (8446148900); Peterson, Gabriel M. (36024463000); Oermann, Marilyn H. (7007155784); Owens, Jacqueline K. (36757772000)","58160381700; 8446148900; 36024463000; 7007155784; 36757772000","Prevalence of Words and Phrases Associated with Large Language Model-Generated Text in the Nursing Literature","2024","CIN - Computers Informatics Nursing","","","","","","","0","10.1097/CIN.0000000000001237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214698026&doi=10.1097%2fCIN.0000000000001237&partnerID=40&md5=e48c242e4760a298adc072063e3d771e","All disciplines, including nursing, may be experiencing significant changes with the advent of free, publicly available generative artificial intelligence tools. Recent research has shown the difficulty in distinguishing artificial intelligence-generated text from content that is written by humans, thereby increasing the probability for unverified information shared in scholarly works. The purpose of this study was to determine the extent of generative artificial intelligence usage in published nursing articles. The Dimensions database was used to collect articles with at least one appearance of words and phrases associated with generative artificial intelligence. These articles were then searched for words or phrases known to be disproportionately associated with large language model-based generative artificial intelligence. Several nouns, verbs, adverbs, and phrases had remarkable increases in appearance starting in 2023, suggesting use of generative artificial intelligence. Nurses, authors, reviewers, and editors will likely encounter generative artificial intelligence in their work. Although these sophisticated and emerging tools are promising, we must continue to work toward developing ways to verify accuracy of their content, develop policies that insist on transparent use, and safeguard consumers of the evidence they generate.  © Lippincott Williams & Wilkins.","Artificial intelligence (AI); Generative AI use; Large language model (LLM)-based generative AI; Nursing articles; Words and phrases associated with LLM-generated text","","Article","Article in press","","Scopus","2-s2.0-85214698026"
"Sabherwal R.; Grover V.","Sabherwal, Rajiv (6701836761); Grover, Varun (7006625568)","6701836761; 7006625568","The Societal Impacts of Generative Artificial Intelligence: A Balanced Perspective","2024","Journal of the Association for Information Systems","25","1","14","13","22","9","20","10.17705/1jais.00860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182168513&doi=10.17705%2f1jais.00860&partnerID=40&md5=152c53fe42fdf5706354cbae83993cf9","The discourse surrounding the societal impacts of generative artificial intelligence (GAI), exemplified by technologies like ChatGPT, often oscillates between extremes: utopian visions of unprecedented productivity and dystopian fears of humanity’s demise. This polarized perspective neglects the nuanced, pragmatic manifestation of GAI. In general, extreme views oversimplify the technology itself or its potential to address societal issues. The authors suggest a more balanced analysis, acknowledging that GAI’s impacts will unfold dynamically over time as diverse implementations interact with human stakeholders and contextual factors. While Big Tech firms dominate GAI’s supply, its demand is expected to evolve through experimentation and use cases. The authors argue that GAI’s societal impact depends on identifiable contingencies, emphasizing three broad factors: the balance between automation and augmentation, the congruence of physical and digital realities, and the retention of human bounded rationality. These contingencies represent trade-offs arising from GAI instantiations, shaped by technological advancements, stakeholder dynamics, and contextual factors, including societal responses and regulations. Predicting long-term societal effects remains challenging due to unforeseeable discontinuities in the technology’s trajectory. The authors anticipate a continuous interplay between GAI initiatives, technological advances, learning experiences, and societal responses, with outcomes depending on the above contingencies. © 2024 by the Association for Information Systems.","Balanced View; ChatGPT; Contingency Theory; Generative Artificial Intelligence; Societal Impact of Technology","","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85182168513"
"Vlachopoulos C.; Antonopoulos A.; Terentes-Printzios D.","Vlachopoulos, Charalambos (7003866217); Antonopoulos, Alexios (25931366200); Terentes-Printzios, Dimitrios (25652286900)","7003866217; 25931366200; 25652286900","Generative artificial intelligence tools in scientific writing: entering a brave new world?","2024","Hellenic Journal of Cardiology","77","","","120","121","1","0","10.1016/j.hjc.2024.05.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194429892&doi=10.1016%2fj.hjc.2024.05.014&partnerID=40&md5=3ebf6c85f912b302795e5cbce3f6ef10","[No abstract available]","","Artificial Intelligence; Humans; Writing; algorithm; aortic stenosis; artificial intelligence; Editorial; machine learning; human; writing","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194429892"
"Alnahhas N.; Yousef D.","Alnahhas, Noor (59161054200); Yousef, Dima (56513831200)","59161054200; 56513831200","GAI as a Catalyst in National Technology Sovereignty: Evaluating the Influence of GAI on Government Policy","2024","ACM International Conference Proceeding Series","","","","618","626","8","0","10.1145/3657054.3657126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195258694&doi=10.1145%2f3657054.3657126&partnerID=40&md5=aa12b45151cb186895b238adadd6b9bb","As a result of the prominence of generative artificial intelligence across diverse fields, it has become necessary for governments to develop national strategies for directing the ethical use of artificial intelligence to respect fundamental human values. This paper explores the role of Generative Artificial Intelligence (GAI) in technology sovereignty, its contributions, and benefits for the government, associated risks, and challenges, and how it influences government policies. It begins with examining GAI’s capabilities to comprehend how it understands natural language, trains on existing data, and generates realistic outputs, followed by a discussion of its potential benefits for governments that enable them to act independently and autonomously in diverse sectors. It highlights how it can empower them to administer technological ecosystems, promote domestic innovation, and facilitate policy-making processes. However, contrary to its benefits, GAI is also capable of inflicting negative consequences on society. Therefore, the paper also addresses the risks and challenges associated with GAI that necessitate reflection on existing policies and developing new ones that align with a nation’s legal frameworks. Exploring the influence of GAI on government policies, the paper highlights the significance of collaboration in policy-making endeavors to ensure ethical future developments and bring value to public interest and democratic values. This comprehensive analysis aims to shed light on the responsible and ethical use of GAI to preserve human rights, promote economic growth, sustain social justice, and inform the responsible use of GAI within the framework of technology sovereignty. © 2024 Copyright held by the owner/author(s).","Generative AI; Governance; Sovereignty; Technology","Decision making; Economics; Ethical technology; Public policy; Diverse fields; Generative AI; Governance; Human values; National strategies; Natural languages; Potential benefits; Sovereignty; Technology; ]+ catalyst; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-85195258694"
"Dharmawan A.P.; Hartantono N.; Lasmy","Dharmawan, Agnes Pricelia (59390113800); Hartantono, Nicholas (59390319700); Lasmy (57193391972)","59390113800; 59390319700; 57193391972","Role of Generative Artificial Intelligence and Work Environment on the Motivation of Workers","2024","2024 3rd International Conference on Creative Communication and Innovative Technology, ICCIT 2024","","","","","","","0","10.1109/ICCIT62134.2024.10701197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207845932&doi=10.1109%2fICCIT62134.2024.10701197&partnerID=40&md5=2cf7621f51767fd7eb97c095594fd1b9","This study examines the impact of Generative Artificial Intelligence (GAI) and the work environment on the motivation of formal workers in DKI Jakarta Province. Using IBM SPSS 29 for data analysis, 402 formal workers participated via online questionnaires. Results indicate that GAI positively correlates with work motivation (regression coefficient=0.71, t = 10.98, p < 0.001). Likewise, a favourable work climate considerably boosts motivation (β = 0.63, t = 12.21, p < 0.001). Also, the work environment was found to have a significant indirect effect on the GAI-motivation relationship (β = 0.55, p < 0.001). The results of this research imply that the implementation of sophisticated AI technologies and a favourable organisational climate are the keys to increasing employees' effectiveness and engagement. Despite the study's short data collection period, the results are indicative. Strategic investments in GAI and improvements in the work environment could significantly enhance the motivation of Jakarta's 3.08 million formal workers. This paper provides valuable insights into leveraging GAI and work environment factors to improve employee well-being in Jakarta's dynamic work context. © 2024 IEEE.","Generative Artificial Intelligence; Work Environment; Work Motivation","AI Technologies; Generative artificial intelligence; Indirect effects; Jakarta; Online questionnaire; Organizational climate; Regression coefficient; Work environments; Work motivation; Workers'; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85207845932"
"Kruger-Roux H.; Alberts R.","Kruger-Roux, Helena (57288134000); Alberts, Retha (59135675400)","57288134000; 59135675400","Generative Artificial Intelligence Policy for Academic Literacy in South African Higher Education","2024","AI Approaches to Literacy in Higher Education","","","","1","22","21","0","10.4018/979-8-3693-1054-0.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193674302&doi=10.4018%2f979-8-3693-1054-0.ch001&partnerID=40&md5=269b534e26ddd2c946717658953efda3","As artificial intelligence (AI) models become widespread, South African universities need policies that balance access and uphold standards. Literature shows generative AI offers opportunities like personalised support, but risks like plagiarism require addressing. Current university guidance focuses narrowly on misconduct, not innovation. Principles proposed for policies include recognising AI's value if governed well; developing inclusive policies through participation; regular updating as AI advances rapidly; effectively communicating policies; anticipating AI's impact across teaching, learning, research, and assessment; and partnering between universities and AI companies. Case studies show involving stakeholders is vital. Comprehensive policies outlining ethical use across contexts are lacking. Guidance tends to emphasise constraints, not possibilities. However, responsible leveraging can expand access without compromising literacy development. This needs evidence-based governance upholding enduring educational values amid emerging tools. © 2024, IGI Global.","","","Book chapter","Final","","Scopus","2-s2.0-85193674302"
"Rodriguez R.V.; Hemachandran K.","Rodriguez, Raul V. (57216650707); Hemachandran, K. (57201386445)","57216650707; 57201386445","Minds Unveiled: Exploring the Effects of Generative AI on Business Behavior","2025","Minds Unveiled: Exploring the Effects of Generative AI on Business Behavior","","","","1","296","295","0","10.4324/9781032711089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209016467&doi=10.4324%2f9781032711089&partnerID=40&md5=b8b5ad017b63e8baaa2f7e84fb21af32","This book demonstrates how generative artificial intelligence (AI), a form of sophisticated AI technology, is transforming our knowledge of how the human mind functions in relation to business leadership and decision-making. It describes the most recent findings and applications of generative AI in psychology. The book explains the relationships between language, thinking, and behavior as well as how AI may aid in our understanding of learning, decision-making, and problem-solving. In addition, it discusses the significance of applying AI properly and ethically. This book provides a comprehensive overview of how AI is increasing our understanding of the mind and how it impacts each of us professionally. © 2025 selection and editorial matter, Raul V. Rodriguez and Hemachandran K.","","","Book","Final","","Scopus","2-s2.0-85209016467"
"","","","23rd EPIA Conference on Artificial Intelligence, EPIA 2024","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","14967 LNAI","","","","","1190","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210166101&partnerID=40&md5=44e802d17fc9905845fa6071c0d4c03c","The proceedings contain 94 papers. The special focus in this conference is on Artificial Intelligence. The topics include: Leveraging LLMs for On-the-Fly Instruction Guided Image Editing; distributing Creative Responsibility Between a Knowledge-Based Content Determiner and a Neural Text Realizer; scanType: Evolutionary Letter Finding; mixed-Initiative Worldbuilding in Speculative Design Experimental Practices; Expanding Design Horizons: Evolutionary Tool for Parametric Design Exploration with Interactive and CLIP-Based Evaluation; Evaluation of Lyrics Extraction from Folk Music Sheets Using Vision Language Models (VLMs); data-Driven Academic Performance Evaluation: A Smart Platform Approach; bridging Fashion and Technology: Synthetic Human Models for an Enhanced E-Commerce Experience; A Multi-agent System Approach with Generative AI for Improved Elderly Daily Living; predictive Analytics in Education: A Comparative Analysis of Machine Learning Models for Predicting Student Performance; smart Cities as Affective Environments; pruning End-Effectors State of the Art Review; an Apple Counting System Robust to Multiple Intermittent Occlusions; data-Driven Digital Twin Based Energy Flexibility Investigation for Commercial Greenhouse Production Process; Towards a Conversational AI Chatbot to Assist Farmers in Disease Detection; The Impact of the EU’s AI Act and Data Act on Digital Farming Technologies; The Introduction of AI in Healthcare: A Multi-layered Issue; segmentation Model for Judgments of the Portuguese Supreme Court of Justice; Digital Justice in the EU: Integration of BPMN and AI into ODR Processes; transparency vs Explanation of Machine Learning Algorithms: Perspectives from Recent Legal Proceedings; detection of Potentially Non-compliant Clauses in Online ToS in Portuguese; Towards Transparent AI: How will the AI Act Shape the Future?; Anthropocentric AI for EU Consumer Lending: ‘Hacking’ Opacity and Discrimination ‘Sins’ Powered by Creditworthiness Machines; HIRS: A Hybrid Information Retrieval System for Legislative Documents; protection of Copyrights in the Era of Generative Artificial Intelligence; approximate Nash Equilibrium Learning for n-Player Markov Games in Dynamic Pricing.","","","Conference review","Final","","Scopus","2-s2.0-85210166101"
"Yogi M.K.; Chowdary Y.R.; Santhoshi C.P.R.S.","Yogi, Manas Kumar (57206180776); Chowdary, Y. Reshma (59450597900); Santhoshi, Ch. Pavani Ratna Sri (59451349400)","57206180776; 59450597900; 59451349400","Impact of Generative AI Models on Personalized Learning and Adaptive Systems","2024","Empowering Digital Education with ChatGPT: From Theoretical to Practical Applications","","","","83","97","14","1","10.1201/9781032716350-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210659206&doi=10.1201%2f9781032716350-6&partnerID=40&md5=f1988dd6991934c8c43eda564ba50e2e","Generative artificial intelligence (AI) can play a significant role in personalized learning by creating tailored educational experiences for individual learners. Generative AI models, like GPT-3 and its successors, have the ability to generate human-like text based on the data they’ve been trained on. This capability can be harnessed to create adaptive and personalized learning experiences for students. In this chapter, we will discuss novel visions on usage of generative AI like customized content generation, conducting adaptive assessments, virtual tutors, personalized learning pathways, domain-specific learning, project-based learning, and continuous improvement in learning. We show the applicability of generative AI models with a case study, and the experimental results with current tools like ChatGPT demonstrate the effectiveness of the tools, showing a promising future for the academic community. © 2025 selection and editorial matter, Mohamed Lahby.","","","Book chapter","Final","","Scopus","2-s2.0-85210659206"
"Mogaji E.; Jain V.","Mogaji, Emmanuel (56823605700); Jain, Varsha (55848195500)","56823605700; 55848195500","How generative AI is (will) change consumer behaviour: Postulating the potential impact and implications for research, practice, and policy","2024","Journal of Consumer Behaviour","23","5","","2379","2389","10","8","10.1002/cb.2345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192157885&doi=10.1002%2fcb.2345&partnerID=40&md5=692681def5da7525e55521a75484edd5","This article sheds light on the profound impact of technology on consumer behavior, specifically focusing on the rise of generative AI tools. It highlights how these advancements have revolutionized consumer engagement, purchase decision-making, and technology interaction. The article underscores the transformative potential of generative AI in shaping consumer behavior through personalized recommendations and interactive shopping experiences. It emphasizes the need for continued research and exploration to comprehend and effectively navigate the ever-evolving landscape of consumer behavior influenced by generative AI. Additionally, the article identifies implications for research and practice, offers valuable strategies for brands, and presents a comprehensive research agenda to delve deeper into this field. Ultimately, it provides valuable insights into the challenges and opportunities presented by generative AI in consumer behavior, serving as a guiding resource for advancing theory, practice, and policy in this domain. © 2024 The Authors. Journal of Consumer Behaviour published by John Wiley & Sons Ltd.","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192157885"
"Binhammad M.; Shaalan K.","Binhammad, Mohammad (59252194900); Shaalan, Khaled (6507669702)","59252194900; 6507669702","A Statistical Analysis to Investigate the Factors Affecting Generative AI Use in Education and Its Impacts on Social Sustainability Using SPSS","2024","Communications in Computer and Information Science","2162 CCIS","","","175","186","11","1","10.1007/978-3-031-65996-6_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200722047&doi=10.1007%2f978-3-031-65996-6_15&partnerID=40&md5=2af198726c40f22a639c770038b8df67","The emergence of generative AI, as a relatively new technological advancement in education, presents new opportunities, but its integration and effects on society remain uncertain. This research focuses on the key factors that affect generative AI in students’ learning integration and its impact on social sustainability. The central problem is the lack of understanding regarding integrating generative AI in education and its broader social sustainability implications. It further employs online surveys targeting higher education students to gather quantitative data. The survey is designed to be composed of closed-ended questions that will focus on the factors of the IDT, SCT, and SDT theories as presented in the theoretical model. This will be done using descriptive analysis, internal consistency reliability, exploratory factor analysis, and multiple regression analysis using SPSS to find out the factors that define the use and adoption of generative AI and its effects on other social sustainability factors like education, diversity, and readiness. The study therefore assists in filling gaps within the literature on AI in education and is beneficial for students, policymakers, educators, and academics. It will highlight and shed light on policies and standards in the use of generative AI in education for the betterment of society. Besides, as the concept of generative AI is advancing in the future, this work will help to form the basis for further research and applications in the field of education while emphasizing the values of technological, pedagogical, and social responsibility. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","education; educational equity; Generative AI; social sustainability; student engagement; technology adoption","Economic and social effects; Education computing; Engineering education; Factor analysis; Regression analysis; Reliability analysis; Sustainable development; Central problems; Educational equity; Generative AI; Key factors; Research focus; Social sustainability; Student engagement; Student learning; Technological advancement; Technology adoption; Students","Conference paper","Final","","Scopus","2-s2.0-85200722047"
"Gupta A.","Gupta, Arti (59137883300)","59137883300","Impact of generative AI in transforming higher education pedagogy","2024","Leveraging ChatGPT and Artificial Intelligence for Effective Customer Engagement","","","","285","300","15","0","10.4018/979-8-3693-0815-8.ch017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193794960&doi=10.4018%2f979-8-3693-0815-8.ch017&partnerID=40&md5=2eeeb0473d14da8487298186d1d12ee6","The purpose of this study is to investigate the impact of generative artificial intelligence in higher education. This study investigates how generative artificial intelligence enhances teaching and learning practices in higher education institutions. Additionally, it also explores applications, advantages, and problems associated with the use of generative artificial intelligence. This study analyses the implementation of Generative AI in higher education institutions employing qualitative methods such as focus groups study and interviews The findings of this study show how significantly generative AI has impacted teaching in higher education. Generative AI solutions can enhance personalized learning experiences, as well as create custom learning resources for students. It also helps in automating administrative processes. However, there are difficulties with adaptability, privacy concerns, and ethical issues in utilizing AI generated applications. The findings of this study have recommendations for teachers, administrators, and policymakers of higher education. © 2024, IGI Global. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-85193794960"
"Do Amaral I.","Do Amaral, Ines (57190277429)","57190277429","Reflection on the use of Generative Language Models as a Tool for Teaching Design","2024","EDUNINE 2024 - 8th IEEE World Engineering Education Conference: Empowering Engineering Education: Breaking Barriers through Research and Innovation, Proceedings","","","","","","","1","10.1109/EDUNINE60625.2024.10500634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191976689&doi=10.1109%2fEDUNINE60625.2024.10500634&partnerID=40&md5=2608e58792cee153627e2a87c0757bdf","Design education is undergoing a technological revolution with the integration of Chat GPT into the learning process being one of the most promising innovations. This article explores how this revolutionary technology can have an impact on the teaching of design, providing students and professors with a tool to improve creativity, efficiency and the quality. The aim of this article is to reflect on the importance of using chat GPT in the teaching of design methodology so that in the future we can outline some strategies for effectively incorporating it into the curriculum for teaching design, giving some examples of how teachers can guide students to use the technology ethically and efficiently in their processes. This represents an exciting opportunity to transform the way students learn design. With due caution, it can become a valuable tool for inspiring the next generation of designers and driving innovation in the field of design.  © 2024 IEEE.","Chat GPT; Design; Generative Artificial Intelligence Models; Methodologies","Curricula; Design; Education computing; Engineering education; Learning systems; Chat GPT; Design Education; Generative artificial intelligence model; Intelligence models; Language model; Learning process; Methodology; Revolutionary technology; Teaching designs; Technological revolution; Students","Conference paper","Final","","Scopus","2-s2.0-85191976689"
"Bhatnagar A.B.; Srivastava A.K.; Kataria P.; Shukla S.; Singh J.","Bhatnagar, Abhinna Baxi (58308275800); Srivastava, Akash Kumar (59310910800); Kataria, Priyanka (59310470600); Shukla, Susheel (59310912500); Singh, Jaspal (59311202200)","58308275800; 59310910800; 59310470600; 59310912500; 59311202200","A bibliometric review of the generative artificial intelligence research landscape in marketing","2024","International Journal of Technology Intelligence and Planning","13","3","","287","307","20","0","10.1504/IJTIP.2024.140634","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202933775&doi=10.1504%2fIJTIP.2024.140634&partnerID=40&md5=fccb2a35dd713149ba79f9927ce41bb5","This investigation aims to conduct a bibliometric examination to synthesise the publication trends of generative artificial intelligence (GenAI) in marketing. Consequently, we add to the literature by scrutinising the historical, current, and prospective research on GenAI in marketing. The data for this study is derived from the Scopus database, and 257 documents were selected for bibliometric analysis after implementing inclusion and exclusion criteria. Citations analysis is employed to identify the most influential publications and contributors. Productivity analysis is utilised to ascertain the most prolific authors and sources. Bibliometric analysis unveils the four thematic clusters of research on GenAI are marketing orientation, service innovation, customer relationship management, and generative language models. Co-citation analysis is conducted to discern citation patterns and identify highly referenced documents. Additionally, the thematic trends of GenAI in marketing are conversational AI, and AI-human collaboration, large language models, pre-trained language models, generative adversarial networks. © 2024 Inderscience Enterprises Ltd.","bibliographic coupling; bibliometric analysis; GenAI; generative artificial intelligence; generative language models","Bibliographies; 'current; Artificial intelligence research; Bibliographic couplings; Bibliometric; Bibliometrics analysis; Generative artificial intelligence; Generative language model; Language model; Prospectives; Generative adversarial networks","Article","Final","","Scopus","2-s2.0-85202933775"
"Mendiola M.S.","Mendiola, Melchor Sánchez (56270882100)","56270882100","Generative artificial intelligence and assessment: What will happen to exams?; [La inteligencia artificial generativa y la evaluación: ¿Qué pasará con los exámenes?]","2023","Investigacion en Educacion Medica","12","48","","5","8","3","2","10.22201/fm.20075057e.2023.48.23550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175458874&doi=10.22201%2ffm.20075057e.2023.48.23550&partnerID=40&md5=c0d6b9d49703340b829fc6d9fb54d6f6","[No abstract available]","","","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175458874"
"Spring R.; Lou S.","Spring, Robin (57211584585); Lou, Shanshan (57190684880)","57211584585; 57190684880","AEJMC Advertising Division 2023 Teaching Pre-Conference Review: Innovating Data Storytelling and Visualization With Artificial Intelligence and Chat Generative Pre-trained Transformer","2024","Journal of Advertising Education","28","1","","6","17","11","1","10.1177/10980482241236883","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186919317&doi=10.1177%2f10980482241236883&partnerID=40&md5=28da6b9c18fed8accccd7a72b65fa455","The 26th annual Teaching Pre-Conference organized by the Advertising Division of the Association for Education in Journalism and Mass Communication focused on the topic of innovating data storytelling and visualization with AI and ChatGPT. Five prominent speakers from leading media companies and universities shared insights with advertising educators, covering the application, impact, and challenges of generative artificial intelligence (AI) in the advertising industry. The five panels also delved into effective ways of integrating generative AI tools into the classroom. Three key trends that arise from the panel presentations are discussed below. Relevant advertising AI tools and class activities are also shared in the report. © The Author(s) 2024.","ChatGPT; computational advertising; creativity; data visualization; digital advertising; generative artificial intelligence; teaching","","Article","Final","","Scopus","2-s2.0-85186919317"
"Torrielli F.; Di Caro L.; Rapp A.","Torrielli, Federico (57226651161); Di Caro, Luigi (57207954874); Rapp, Amon (23398572100)","57226651161; 57207954874; 23398572100","GENerative, Explainable and Reasonable Artificial Learning Workshop 2023","2023","CEUR Workshop Proceedings","3571","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180125752&partnerID=40&md5=2a46e04beb0d54d6656dbc9f1ed296d7","The GENERAL (GENerative, Explainable and Reasonable Artificial Learning) workshop, held at CHITALY 2023, delves into the advancements in General and Generative Artificial Intelligence (GGAI), with a focus on breakthroughs in natural language processing (NLP) and computer vision (CV). The workshop highlights the capabilities of Large Language Models (LLMs) and Latent Diffusion Models (LDMs) in generating human-like content across text and images. It emphasizes the importance of AI explainability, aiming to understand, explain, and control the complexities of these AI systems in terms of fairness, accountability, and transparency. The workshop encourages interdisciplinary collaboration across fields like HCI, psychology, social studies, and the arts to better understand AI's societal and cultural impacts. Topics of interest include user perceptions of generative AIs, machine psychology, AI assistants, ethical issues in Generative AI, and safety and control mechanisms for large language models. © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","","Artificial intelligence; Computational linguistics; Ethical technology; AI systems; Artificial learning; Diffusion model; Human like; Interdisciplinary collaborations; Language model; Language processing; Learning workshops; Natural languages; Social study; Natural language processing systems","Conference paper","Final","","Scopus","2-s2.0-85180125752"
"","","","23rd EPIA Conference on Artificial Intelligence, EPIA 2024","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","14968 LNAI","","","","","1190","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210228588&partnerID=40&md5=a86cd989b8f06cdd2500af09f08cbbae","The proceedings contain 94 papers. The special focus in this conference is on Artificial Intelligence. The topics include: Leveraging LLMs for On-the-Fly Instruction Guided Image Editing; distributing Creative Responsibility Between a Knowledge-Based Content Determiner and a Neural Text Realizer; scanType: Evolutionary Letter Finding; mixed-Initiative Worldbuilding in Speculative Design Experimental Practices; Expanding Design Horizons: Evolutionary Tool for Parametric Design Exploration with Interactive and CLIP-Based Evaluation; Evaluation of Lyrics Extraction from Folk Music Sheets Using Vision Language Models (VLMs); data-Driven Academic Performance Evaluation: A Smart Platform Approach; bridging Fashion and Technology: Synthetic Human Models for an Enhanced E-Commerce Experience; A Multi-agent System Approach with Generative AI for Improved Elderly Daily Living; predictive Analytics in Education: A Comparative Analysis of Machine Learning Models for Predicting Student Performance; smart Cities as Affective Environments; pruning End-Effectors State of the Art Review; an Apple Counting System Robust to Multiple Intermittent Occlusions; data-Driven Digital Twin Based Energy Flexibility Investigation for Commercial Greenhouse Production Process; Towards a Conversational AI Chatbot to Assist Farmers in Disease Detection; The Impact of the EU’s AI Act and Data Act on Digital Farming Technologies; The Introduction of AI in Healthcare: A Multi-layered Issue; segmentation Model for Judgments of the Portuguese Supreme Court of Justice; Digital Justice in the EU: Integration of BPMN and AI into ODR Processes; transparency vs Explanation of Machine Learning Algorithms: Perspectives from Recent Legal Proceedings; detection of Potentially Non-compliant Clauses in Online ToS in Portuguese; Towards Transparent AI: How will the AI Act Shape the Future?; Anthropocentric AI for EU Consumer Lending: ‘Hacking’ Opacity and Discrimination ‘Sins’ Powered by Creditworthiness Machines; HIRS: A Hybrid Information Retrieval System for Legislative Documents; protection of Copyrights in the Era of Generative Artificial Intelligence; approximate Nash Equilibrium Learning for n-Player Markov Games in Dynamic Pricing.","","","Conference review","Final","","Scopus","2-s2.0-85210228588"
"Philbin C.A.","Philbin, Carrie Anne (57195197499)","57195197499","Impact of Generative AI on K-12 Students' Perceptions of Computing: A Research Proposal","2023","ACM International Conference Proceeding Series","","","","","","","0","10.1145/3605468.3609775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176006653&doi=10.1145%2f3605468.3609775&partnerID=40&md5=07b59c99c4cac2028ccdd0d9216895c7","The rapid progress of generative artificial intelligence (AI) is fundamentally reshaping traditional perspectives on knowledge and skills, with profound implications for computing education. This necessitates a thorough examination of the relevance and timeliness of computing as a subject, especially for K-12 students who are making critical decisions about their future qualifications. This abstract proposes an empirical research study that aims to explore the effects of integrating generative AI in the creation of digital artefacts on K-12 students' perceptions of the value of computing, as well as their understanding of ownership and achievement. Constructive discussions regarding the outlined approach are encouraged.  © 2023 Owner/Author.","Artificial Intelligence education; Creative computing; Generative AI; K-12 education; Student perceptions","Students; Artificial intelligence education; Computing education; Creative computing; Creatives; Empirical research; Generative artificial intelligence; K-12 education; Research proposals; Research studies; Student perceptions; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-85176006653"
"Schaye V.; Triola M.M.","Schaye, Verity (24476816800); Triola, Marc M. (6603434393)","24476816800; 6603434393","The generative artificial intelligence revolution: How hospitalists can lead the transformation of medical education","2024","Journal of Hospital Medicine","19","12","","1181","1184","3","2","10.1002/jhm.13360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190460259&doi=10.1002%2fjhm.13360&partnerID=40&md5=d8091f528756690aa41b2ea6ef181ce7","[No abstract available]","","Article; artificial intelligence; doctor patient relationship; generative artificial intelligence; health care delivery; human; interpersonal communication; learning; medical education; medical staff; medical student; student; article; pharmacokinetics","Article","Final","","Scopus","2-s2.0-85190460259"
