"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Impact of Artificial Intelligence Language Model Perception on Job Search Self-Efficacy among English Majors: An Exploratory Study Based on the Technology Acceptance Model","Z. Liao; Q. Li; Y. Zhou; Q. Yu; L. Ye","School of Foreign Studies, Shaoguan University, Shaoguan, Guangdong, China; School of Foreign Studies, Shaoguan University, Shaoguan, Guangdong, China; School of Foreign Studies, Shaoguan University, Shaoguan, Guangdong, China; School of Foreign Studies, Shaoguan University, Shaoguan, Guangdong, China; School of Foreign Studies, Shaoguan University, Shaoguan, Guangdong, China",2024 International Conference on Informatics Education and Computer Technology Applications (IECA),"12 Aug 2024","2024","","","74","78","Previous research indicates that artificial intelligence (AI) language models represent both opportunities and challenges for the employment prospects of graduates in foreign language disciplines. However, there is a notable lack of empirical data supporting the specific impact pathways of AI language models on employment. In the present study, grounded in the Technology Acceptance Model (TAM), we surveyed 418 English majors in a university in China to investigate the influence of perceived usefulness and ease of use of AI language models on job search self-efficacy within the context of AI language model development. Using partial least squares structural equation modeling (PLS-SEM) for data analysis and validation, our research yielded the following findings: First, students specializing in English maintain a relatively positive perception of the usefulness and ease of use of AI language models, coupled with an optimistic outlook on their employment prospects under the shadow of burgeoning AI language model development. Second, perceived usefulness and ease of use were found to be effective predictors of job search self-efficacy among English majors in the context of AI language model advancements. The pathways of influence are as follows: 1) Perceived ease of use directly and positively impacts perceived usefulness; 2) Both perceived usefulness and ease of use directly and positively influence job search self-efficacy; 3) Perceived ease of use indirectly and positively affects job search self-efficacy through the mediating role of perceived usefulness. Based on these findings, we proffer recommendations for language service professionals and educators.","","979-8-3503-7533-6","10.1109/IECA62822.2024.00021","Ministry of Education; Shaoguan University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10624651","Job search self-efficacy;Artificial intelligence language models;Language services;Language education","Analytical models;Technology acceptance model;Computational modeling;Employment;Education;Predictive models;Mathematical models","","","","13","IEEE","12 Aug 2024","","","IEEE","IEEE Conferences"
"Stitching Data Threads: Impact of Artificial Intelligence on Fashion Evolution","S. Prabhu; P. Ashok; R. Nandanwar; G. Hallur","Symbiosis Institute of Digital and Telecom Management (SIDTM), Symbiosis International (Deemed University) (SIU), Pune, Maharashtra, India; Symbiosis Institute of Digital and Telecom Management (SIDTM), Symbiosis International (Deemed University) (SIU), Pune, Maharashtra, India; Symbiosis Institute of Digital and Telecom Management (SIDTM), Symbiosis International (Deemed University) (SIU), Pune, Maharashtra, India; Symbiosis Institute of Digital and Telecom Management (SIDTM), Symbiosis International (Deemed University) (SIU), Pune, Maharashtra, India",2024 4th International Conference on Innovative Practices in Technology and Management (ICIPTM),"24 Jun 2024","2024","","","1","6","Artificial Intelligence is playing a crucial role in everyone's life and it has changed everyone's life in a lot of ways. Artificial Intelligence has affected various sectors and it has made the functioning of all the sectors easier. One of them is the fashion industry. In this pandemic, fashion industry has become fully digital. People shop online and for this fashion sector is using Artificial intelligence to improve user experience. The main purpose is to analyze the application of the fashion industry from the perspective of using it as a recommendation system. For this study, the survey has taken to understand what respondents think of Artificial Intelligence in fashion industry. The survey collected 156 responses, with 86 male respondents and the remaining female respondents. Through this paper, it has been observed that people regardless of their age use recommendation systems while shopping online. Fashion industry has change everyone's life and made it easier. This study focuses on how Fashion industry has changed because of Artificial Intelligence. There are cases on Artificial intelligence and the fashion industry but this study focuses on how it can be used as a recommendation system.","","979-8-3503-0775-7","10.1109/ICIPTM59628.2024.10563840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10563840","Fashion artificial intelligence;recommendation system;Fashion;AI recommendation system;e-commerce;Artificial Intelligence;Fashion Industry","Industries;Surveys;Pandemics;Market research;User experience;Electronic commerce;Artificial intelligence","","2","","16","IEEE","24 Jun 2024","","","IEEE","IEEE Conferences"
"Artificial Intelligence and Information System Resilience to Cope With Supply Chain Disruption","S. Gupta; S. Modgil; R. Meissonier; Y. K. Dwivedi","Department of Information Systems, Supply Chain Management and Decision Support, NEOMA Business School, Reims, France; Department of Operations Management, International Management Institute Kolkata, Kolkata, India; IAE Montpellier, Montpellier Research in Management, Montpellier, France; School of Management, Swansea University, Swansea, U.K.",IEEE Transactions on Engineering Management,"4 Jun 2024","2024","71","","10496","10506","Artificial Intelligence (AI) as a technology has the potential to interpret and evaluate alternatives where multidimensional data are involved in dynamic situations such as supply chain disruption. This article aims to explore the role of resilient information systems in minimizing the risk magnitude in disruption situations in supply chain operations. The article is conducted in the qualitative mode through a semistructured interview schedule for professionals of supply chains. A thematic analysis has been used to create emerging categories. The findings of this article present critical gaps in current information systems and demonstrate how AI-oriented systems can facilitate the ecosystem of disrupted supply chains to save costs and drive efficiency on multiple parameters. The article also proposes a conceptual framework where organizational values and architectural components can be viewed jointly for quick and adequate business decisions in complex and uncertain disruptions. The framework presents the relationships among AI, information systems, and supply chain disruption. Installing appropriate AI-based data acquisition, processing, and self-training capabilities along with information system infrastructure can help organizations lessen the impact of supply chain disruption while aligning the transportation network and ensuring geographically suitable supply chains and cybersecurity. Finally, the implications for theory and practice with the limitations and scope for future research are described.","1558-0040","","10.1109/TEM.2021.3116770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9586738","Artificial Intelligence (AI);COVID-19;information system resilience;supply chain disruption","Supply chains;Information systems;Artificial intelligence;COVID-19;Stability analysis;Resilience;Investment","","33","","87","IEEE","26 Oct 2021","","","IEEE","IEEE Journals"
"Effective E-Learning Practices by Machine Learning and Artificial Intelligence","A. Naim; S. M. Alshawaf; P. Kumar Malik; R. Singh","Department of Information Systems, King Khalid University, Abha, KSA; Department of Education Technology, King Khalid University, Abha, KSA; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, Punjab, India; Division of Research and Innovation, Uttaranchal University, Dehradun, Uttrakhand",2023 International Conference on Artificial Intelligence and Smart Communication (AISC),"3 Apr 2023","2023","","","491","495","The world is moving at a fast pace having the application of Machine Learning (ML) and Artificial Intelligence (AI) in all the major disciplines and the educational sector is also not untouched by its impact especially in an online learning environment. E-Learning (EL) is always under the monitoring of its effectiveness and suitability for learning and teaching (L&T) due to its nature. This paper attempts to elaborate on the benefits of ML and AI in E-Learning (EL) in general and explain how King Khalid University (KKU) EL Deanship is making the best of ML and AI in its practices to make EL effective and an appropriate platform of L&T. This research is descriptive in nature; results are based on qualitative analysis done through studying the applications of ML and AI in KKU’s EL but the same modus operandi can be implemented by any institution in its EL platform to learn the effectiveness of their EL. KKU is using Learning Management Services (LMS) for providing online learning practices and Blackboard (BB) for sharing online learning resources. This research applies the ML and AI in LMS and BB services in KKU and measured the effectiveness of EL. The results show constructive impact of ML and AI in EL in KKU and effective working of EL in imparting the L&T.","","979-8-3503-2230-9","10.1109/AISC56616.2023.10085391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10085391","Artificial Intelligence;Blackboard;E-Learning Deanship;Learning Management Services;Machine Learning","Adaptive learning;Electronic learning;Learning automata;Measurement uncertainty;Learning (artificial intelligence);Machine learning;Artificial intelligence","","8","","33","Crown","3 Apr 2023","","","IEEE","IEEE Conferences"
"The Impact of AI on Sustainability Reporting in Accounting","V. Ahmad; L. Goyal; M. Arora; R. Kumar; K. R. Chythanya; S. Chaudhary","Uttaranchal Institute of Management Uttaranchal Unversity, Premnagar, Dehradun, India; Graduate School of Business Tula's Institute Dhulkot Mafi, Dehradun, India; Uttaranchal Institute of Management Uttaranchal Unversity, Premnagar, Dehradun, India; Uttaranchal Institute of Management Uttaranchal Unversity, Premnagar, Dehradun, India; School of Computer Science & Artificial Intelligence SR University, Warangal, Andhra Pradesh, India; GSHS GITAM, Hyderabad, Telangana, India",2023 6th International Conference on Contemporary Computing and Informatics (IC3I),"26 Jan 2024","2023","6","","643","648","Sustainability reporting has gained significant importance in recent years, with organizations increasingly recognizing the need to report on their environmental, social, and governance (ESG) performance. The traditional methods of collecting and reporting ESG data are often manual and time-consuming, leading to errors and inconsistencies. The emergence of Accounting, which integrates emerging technologies such as artificial intelligence (AI), blockchain, big data analytics, and robotic process automation (RPA) into the accounting profession, provides an opportunity to enhance the quality and effectiveness of sustainability reporting. The integration of AI in sustainability reporting has several potential benefits, including the automation of ESG data collection and analysis, the identification of trends and patterns in ESG data, and the provision of real-time insights into sustainability performance. This research paper investigates the impact of AI on sustainability reporting in Accounting.","","979-8-3503-0448-0","10.1109/IC3I59117.2023.10397863","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10397863","Accounting;Artificial Intelligence;Big Data;Sustainability Development Goals (SDGs);Robotic process automation;Green Accounting","Ethics;Standards organizations;Companies;Standardization;Time measurement;Sustainable development;Artificial intelligence","","","","20","IEEE","26 Jan 2024","","","IEEE","IEEE Conferences"
"Experimental Research on the influence of intelligent Industry development on employment quality of College graduates","Y. Du","Harbin University of Commerce, Harbin, China","2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)","1 Feb 2023","2022","","","1002","1005","The development of artificial intelligence technology cannot be separated from the support of talents. After analyzing the development status of the artificial intelligence industry, the cobb-Douglas production function is used to calculate the impact of the increase in the number of robots on labor employment. The empirical results show that every 1% increase in the number of robots installed will drive the increase of the number of employed people by 0.49%. The compensation effect of using ARTIFICIAL intelligence is greater than the substitution effect, and it has a positive effect on promoting employment. At the same time, Al has positive effects on college graduates, such as improving the working environment and creating new jobs, and negative effects, such as increasing the polarization of income distribution and reducing the overall employment of college graduates. Finally, it puts forward some improvement measures such as strengthening the training of new talents and adopting active redistribution policy.","","978-1-6654-1666-5","10.1109/ICEKIM55072.2022.00218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027280","Artificial intelligence;C-D production function model;College graduates;Employment quality","Industries;Training;Service robots;Employment;Production;Information management;Artificial intelligence","","","","10","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
"The Positive Impact of Artificial Intelligence on Education","A. E. Gourari; M. Raoufi; M. Skouri; A. Ait Ben Braim; M. Ezzini; Y. A. Lahcen; S. Achki","Laboratory of Physics High Energy and Astrophysics, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco; Laboratory of Materials Energy and Environment, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco; Laboratory of Physics High Energy and Astrophysics, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco; Laboratory of Physics High Energy and Astrophysics, Faculty of Science Semlalia, Cadi Ayyad University, Marrakech, Morocco; Fluid Mechanics and EnergeticLaboratory, Cadi Ayyad University,Faculty of Sciences Semlalia, Marrakesh, Morocco; Laboratory of Computer Systems Engineering Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco; Computer Science Department, FSTG, Marrakech, Morocco",2024 International Conference on Global Aeronautical Engineering and Satellite Technology (GAST),"14 May 2024","2024","","","1","6","Those interested in artificial intelligence technologies, especially supervised and unsupervised learning in education, know they need considerable data for well-modeled training and high-quality accuracy. However, data access is not easy as it drains time and effort. So, in this paper, we will talk about the impact of artificial intelligence on education in general and how it will affect teachers' role in the future. We will also create an algorithm that will integrate several algorithms sequentially that will add value to this paper and contribute significantly to solving most of the problems that exist in education. Since the reinforcement learning (RL) algorithm is based on trial and error during training, it stores all the good events done in a considerable buffer. Once the RL model is ready, we will collect enough data to be used to train one of the algorithms mentioned earlier (supervised learning and unsupervised learning).","","979-8-3503-7159-8","10.1109/GAST60528.2024.10520786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10520786","Artificial intelligence;Supervised learning;unsupervised learning;reinforcement learning","Training;Satellites;Supervised learning;Focusing;Reinforcement learning;Learning (artificial intelligence);Data models;Unsupervised learning","","","","23","IEEE","14 May 2024","","","IEEE","IEEE Conferences"
"Big Data Analysis and Intelligent Decision Support System for Environmental Water Quality: Application of Artificial Intelligence in Water Environmental Protection","D. Qi; B. Chang; W. Li","The Fifth Prospecting Team of Shandong Coal Geology Bureau, Jinan, China; The Fifth Prospecting Team of Shandong Coal Geology Bureau, Jinan, China; The Fifth Prospecting Team of Shandong Coal Geology Bureau, Jinan, China",2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),"14 Oct 2024","2024","","","169","174","In recent years, with the rapid development of society, people's demand for water is increasing day by day. In some areas, the quality of water environment is poor, the water ecology is seriously damaged, and there are many environmental hidden dangers, which do great harm to people's health and have a great negative impact on the sustainable development of economy and society. This system utilizes computer technology and big data analysis methods to collect, store, and process various water quality monitoring data to provide comprehensive data analysis. This article focuses on the major decision-making issues in current water environment protection, integrating big data, artificial intelligence technology, and computer technology to provide an environmental water quality big data analysis and intelligent decision support system. In the monitoring of pH (potential of hydrogen) and dissolved oxygen at different monitoring points, the pH at monitoring point 1 is 7.2 and the dissolved oxygen is 9.5 mg/L. The pH value of monitoring point 2 is 6.8, and the dissolved oxygen is 8.3 mg/L. The research results of this paper can provide technical support for water quality assessment and water environment management.","","979-8-3503-7617-3","10.1109/AIARS63200.2024.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708824","Water environment protection;environmental water quality;big data analysis;intelligent decision-making;artificial intelligence","Decision support systems;Hydrogen;Water quality;Big Data;Real-time systems;Artificial intelligence;Computer security;Protection;Sustainable development;Monitoring","","","","20","IEEE","14 Oct 2024","","","IEEE","IEEE Conferences"
"An Empirical Study of Artificial Intelligence and its Impact on Human Resource Functions","G. Bhardwaj; S. V. Singh; V. Kumar","Amity University, Gr Noida; Amity University, Gr Noida; Amity University, Gr Noida","2020 International Conference on Computation, Automation and Knowledge Management (ICCAKM)","2 Apr 2020","2020","","","47","51","The phenomenon of AI has been widely studied in several areas. This paper is based on the use of artificial intelligence and its impact on HRM due to technological advancement in IT landscape. At present almost all companies are implementing AI in their functional areas to increase efficiency of employees in organization. AI role in HR domain starts with recruitment till performance appraisal of employees. The aim of the present research is to examine the relationship between artificial intelligence and Human resource functions in IT industry in Delhi/NCR location weather this relationship is moderated by innovativeness and ease of use at HR operations. This study was conducted among 115 HR professionals at various IT sector in Delhi/NCR region. A multiple regression method was used to test hypothesis and confirmed positive relationship between these two factors establishing about the increased use of AI at work results better HR functional performance. However AI has significant relationship with innovativeness and also with ease of use which reflects AI effects HR with innovations and ease of use. This study will give insights of Artificial intelligence which is coming asanew revolution in industry with new name Industry4.0.","","978-1-7281-0666-3","10.1109/ICCAKM46823.2020.9051544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051544","Artificial Intelligence;Innovativeness;Ease of use;Human resource Management;Industry4.0","","","47","","24","IEEE","2 Apr 2020","","","IEEE","IEEE Conferences"
"Leveraging Artificial Intelligence and Emerging Technologies in the Next Phase of Digital Business Transformation","W. V. Siricharoen","Silpakorn University, Nonthaburi, Thailand",2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),"8 Jul 2024","2024","","","10","14","This paper explores the complexities of current trends and technological progress that are influencing the future of digital business transformation. This analysis explores the significant impact of integrating artificial intelligence (AI) and machine learning (ML) into different aspects of business operations, including business models, customer experiences, and innovation. In addition, we examine the growing importance of e-commerce, digital marketing, and online platforms, specifically considering the interest in social media and travel. This paper aims to provide insights into the opportunities and challenges in the dynamic landscape, drawing from the intersection of computer science and business.","2836-4317","979-8-3503-4879-8","10.1109/ISCAIE61308.2024.10576282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576282","Artificial Intelligence (AI);Machine Learning (ML);E-commerce;Digital marketing;Challenges and Opportunities","Computer science;Ethics;Technological innovation;Social networking (online);Weaving;Electronic commerce;Cultural differences","","","","33","IEEE","8 Jul 2024","","","IEEE","IEEE Conferences"
"Does the Impact of Artificial Intelligence on Unemployment Among People With Disabilities Differ by Educational Level? A Dynamic Panel Threshold Approach","M. Abid; O. Ben-Salha; Z. Kanetaki; H. Sekrafi","Department of Finance and Investment, College of Business, Jouf University, Sakaka, Saudi Arabia; Department of Finance and Insurance, College of Business Administration, Northern Border University, Arar, Saudi Arabia; Department of Mechanical Engineering, University of West Attica, Athens, Greece; Department of Quantitative Methods, Faculty of Law, Economics and Management Sciences, Jendouba University, Jendouba, Tunisia",IEEE Access,"24 Sep 2024","2024","12","","131024","131034","Artificial intelligence (AI) technologies can significantly influence the employment and career development of people with disabilities, presenting both opportunities and challenges. On the one hand, AI can enhance accessibility, create new job opportunities, and assist in skill development. On the other hand, it can lead to potential job displacement and exacerbate barriers if not implemented inclusively. The objective of this research is to explore the implications of different artificial intelligence measures (artificial intelligence, machine learning, data science, big data) and unemployment among disabled people with different educational levels (primary, secondary, tertiary). The first difference generalized method of moments with threshold model confirms the nonlinear linkages between AI and unemployment. More specifically, AI reduces the unemployment rate among people with disability only in the upper regime, particularly for those with secondary and tertiary educational levels. For unemployed disabled people with primary education, there is little evidence of the role of AI in lowering unemployment in both regimes. The findings of the present empirical study are important for designing suitable policies and strategies for reducing the unemployment rates and achieving a sustainable future for people with disability.","2169-3536","","10.1109/ACCESS.2024.3456962","King Salman Center for Disability Research(grant numbers:KSRG-2023-298); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670375","Artificial intelligence;disability;unemployment;threshold;nonlinearity","Artificial intelligence;Unemployment;Education;People with disabilities;Market research;Indexes;People with disabilities;Career development","","","","43","CCBYNCND","10 Sep 2024","","","IEEE","IEEE Journals"
"AI and Us: Existential Risk or Transformational Tool?","N. Saavedra-Rivano","Associate Fellow, World Academy of Art and Sciene, Professor Emeritus, University of Tsukuba (Japan), Project Coordinator, ABIPTI (Brazil), Brasilia, Brazil",2019 IEEE 18th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),"22 Jul 2020","2019","","","319","322","This paper analyzes the short-term and longer-term impacts of AI. While the short-term impact is deemed to be mostly positive, the longer-term impacts are considered to be disastrous under a variety of scenarios, including the adoption of man-machine symbiosis tools. The paper offers suggestions as to policy measures that could correct this disastrous outlook.","","978-1-7281-1419-4","10.1109/ICCICC46617.2019.9146091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146091","Artificial Intelligence;existential risk;man-machine symbiosis;global crises","Artificial intelligence;Symbiosis;Man-machine systems;Medical services;Robots;Tools;Safety","","","","11","IEEE","22 Jul 2020","","","IEEE","IEEE Conferences"
"Bibliometric study on artificial intelligence technologies for semiconductor defects","S. Kim; E. Park","Samsung Electronics, Suwon, Korea; Department of Applied Artificial Intelligence, Sungkyunkwan University, Seoul, Korea",2023 14th International Conference on Information and Communication Technology Convergence (ICTC),"23 Jan 2024","2023","","","1690","1695","The rapid progress of science and technology, coupled with the integration of artificial intelligence, is driving transformative shifts within the manufacturing sector. Notably, artificial intelligence is playing a pivotal role in revolutionizing semiconductor manufacturing. The recent focus has been on artificial intelligence (AI)-driven methods for managing semi-conductor defects. We aimed to perform a comprehensive bibliometric analysis, spotlighting trends in AI research within the semiconductor domain, particularly concerning defects. We gathered pertinent publications from Scopus and Web of Science databases, meticulously examining their distributions. Our findings encompass a total of 808 papers published between 2019 and 2023. Over this five-year span, publications exhibit consistent growth, with Proceedings of SPIE and IEEE Transactions on Semiconductor Manufacturing emerging as the most prolific sources as per Scopus and Web of Science data. Additionally, we scrutinized influential research approaches and data resources outlined in top-tier publications. The study underscores the persistent expansion of this research realm and outlines three principal insights and three extant limitations associated with employing AI for semiconductor defect control.","2162-1241","979-8-3503-1327-7","10.1109/ICTC58733.2023.10393355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393355","bibliometric analysis;artificial intelligence;defects;semiconductor","Databases;Bibliometrics;Semiconductor device manufacture;Market research;Manufacturing;Information and communication technology;Artificial intelligence","","1","","11","IEEE","23 Jan 2024","","","IEEE","IEEE Conferences"
"Research on Financial Management Innovation Based on Artificial Intelligence Background","W. Lan","Tianjin University of Finance and Economics Pearl River College, Tianjin, China",2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),"15 Sep 2021","2021","","","45","48","With the continuous popularization and application of artificial intelligence technology, the main functions are reflected in anthropomorphic operation, intelligent computing, automatic adjustment and data analysis. At present, artificial intelligence involves many industries and fields, which has caused a great change impact on each management mode. Based on this, from the perspective of artificial intelligence function and value analysis, upgrading the innovation direction and mode application of financial management is particularly key to realize intelligent data analysis, intelligent computing and anthropomorphic operation. This research starts from the background of artificial intelligence, discusses the innovative ways of financial management, and plays a reference role for the relevant work.","","978-1-6654-2492-9","10.1109/ICAIE53562.2021.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534497","enterprise;financial management;artificial intelligence;information","Training;Industries;Technological innovation;Data analysis;Buildings;Financial management;Tools","","2","","7","IEEE","15 Sep 2021","","","IEEE","IEEE Conferences"
"Simulation of Internet Informationization Enterprise Information Service System in the Era of Artificial Intelligence","X. Zhou","College of Entrepreneurship Jinan Vocational College, Jinan, Shandong, China",2022 International Conference on Knowledge Engineering and Communication Systems (ICKES),"17 Mar 2023","2022","","","1","5","With the rapid growth of Internet technology, mobile devices become an indispensable tool in the new era. In this environment of information explosion, large-scale data gathering and high-speed dissemination, artificial intelligence is an important subject that must be possessed and solved urgently for the progress of science and technology in today’ s society. The simulation theory of intelligent entrepreneurship information system is an entrepreneur's entrepreneurship activities using computer network media platform, which provides more help. This paper will discuss the design of the entrepreneurship information service system in the era of artificial intelligence in accordance with the characteristics and needs of entrepreneurship information management in the era of Internet information. This paper first introduces the application of Internet information service, then studies the artificial intelligence algorithm, and according to the algorithm, designs and studies the framework of the entrepreneurship information service system. Finally, the performance of the system is tested. The test results show that the speed, accuracy and processing efficiency of data transmission meet the requirements of the Internet sales platform in the intelligent age.","","978-1-6654-5637-1","10.1109/ICKECS56523.2022.10060612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060612","artificial intelligence;enterprise information;Internet Entrepreneurship Information Service System;internet information;service system","Productivity;Technological innovation;Information services;Entrepreneurship;Media;Mobile handsets;Internet","","","","15","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Automation and Decision Support in the Area of Nephrology Using Numerical Algorithms, Artificial Intelligence, and Expert Approach: Review of the Current State of Knowledge","D. Pawuś; T. Porażko; S. Paszkiel","Faculty of Electrical Engineering, Automatic Control and Informatics, Opole University of Technology, Opole, Poland; Department of Internal Medicine and Nephrology, Institute of Medical Sciences, University of Opole, Opole, Poland; Faculty of Electrical Engineering, Automatic Control and Informatics, Opole University of Technology, Opole, Poland",IEEE Access,"27 Jun 2024","2024","12","","86043","86066","This study explores the contemporary landscape of integrating numerical algorithms, artificial intelligence (AI), and expert methodologies within the domain of nephrology. Focusing on automation and decision support, we scrutinize the impact of numerical algorithms on the precise evaluation of kidney function. Furthermore, we delve into the transformative potential of artificial intelligence, particularly in the realms of machine learning and deep learning applications, elucidating its role in early disease detection and the formulation of personalized treatment strategies. The synergy between computer-based tools and expert-driven approaches is examined, underscoring their collaborative role in enhancing the accuracy and dependability of diagnoses. Additionally, we address the ethical considerations and challenges associated with the incorporation of automation in nephrology. The paper provides a concise overview of in-depth analysis while illustrating the promising prospects of these innovative methodologies for reshaping nephrology research and patient care.","2169-3536","","10.1109/ACCESS.2024.3413595","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555256","Expert system;artificial intelligence;neural networks;classification;numerical algorithms;automation system;machine learning;algorithms in nephrology;kidney disease;AI in medicine","Kidney;Diseases;Nephrology;Artificial intelligence;Blood;Proteins;Medical services;Expert systems;Neural networks;Automation","","","","138","CCBY","12 Jun 2024","","","IEEE","IEEE Journals"
"Artificial Intelligence-Assisted Discovery Learning: An Educational Experience for Entrepreneurship Students Using ChatGPT","I. D. Sudirman; I. Rahmatillah","Entrepreneurship Department, BINUS Business School Undergraduate Program, Bina Nusantara University, Bandung, Indonesia; Entrepreneurship Department, BINUS Business School Undergraduate Program, Bina Nusantara University, Bandung, Indonesia",2023 IEEE World AI IoT Congress (AIIoT),"13 Jul 2023","2023","","","0786","0791","Artificial intelligence-assisted discovery learning is a powerful tool that can help students engage in discovery-based learning. This paper aims to investigate how ChatGPT might enrich the educational experience of students enrolled in Technopreneurship course. This research will be conducted on students from the Entrepreneurship Program in a university in Bandung. A total of 213 students participated in this study and filled out forms that were distributed via Google form. The results show that students who participated in the discussion session using ChatGPT found it both informative and enjoyable. The vast majority of students who attended the chatgpt session found the conversation informative and entertaining. The research question and the findings suggest that the use of AI-powered tools such as chatGPT can improve students’ learning experiences and aid them in developing workable ideas for mobile apps. This study can pave the way for further research into how AI can be applied to the classroom and what kind of impact it can have on students’ educational outcomes.","","979-8-3503-3761-7","10.1109/AIIoT58121.2023.10174472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174472","Artificial intelligence;discovery learning;ChatGPT;educational experience;Technopreneurship;entrepreneurship","Heuristic algorithms;Education;Entrepreneurship;Learning (artificial intelligence);Oral communication;Chatbots;Market research","","5","","15","IEEE","13 Jul 2023","","","IEEE","IEEE Conferences"
"Effects of Artificial Intelligence and Robots on Job Satisfaction and Turnover Intention","T. Kato; M. Koizumi","School of Commerce, Meiji University, Tokyo, Japan; Corporate Business Development, NEC Corporation, Tokyo, Japan",2023 IEEE 6th International Conference on Knowledge Innovation and Invention (ICKII),"4 Dec 2023","2023","","","773","777","The competitive edge created by advanced technology in a company is indisputably evident. However, advanced technology may harm employee attitudes. The adoption of artificial intelligence (AI) and robots may replace workers. Hence, many workers are worried about employment security. Few studies quantitatively demonstrated these negative aspects of technology. Therefore, we clarified the influence of technology on job satisfaction and turnover intention of employees. Structural equation modeling was applied to an online survey of 571 full-time employees of small and medium enterprises (SMEs) in Japan. The results showed that the introduction of basic technology had a positive effect on job satisfaction and the introduction of advanced technology had a positive effect on turnover intention, while removal of old technology had no significant effect. Accordingly, managers must not underestimate the basic technical environment but implement it quickly. In addition, when introducing cutting-edge technology, managers must give due consideration to employee concerns about employment security. If the purpose and scope of impact are not carefully explained to employees before the technology is introduced, employee turnover increases. We clarified the effects of old, basic, and new technologies on employee attitudes for the first time.","2770-4785","979-8-3503-2353-5","10.1109/ICKII58656.2023.10332717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332717","internal marketing;employee attitude;SMEs;digital transformation;artificial intelligence","Surveys;Technological innovation;Employment;Companies;Mathematical models;Security;Artificial intelligence","","","","33","IEEE","4 Dec 2023","","","IEEE","IEEE Conferences"
