Autores,Título,Fonte,Ano,Palavras-chave,Resumo,base
wang c;zheng ;bai x;li y;shen w,future of jobs in china under the impact of artificial intelligence,finance research letters,2023,Artificial intelligence; Labor markets; Task-based quantification; Substitution probability; LightGBM,"This study presents a new task-based quantification method for constructing Chinese occupa-tional dataset based on the features of US jobs. Furthermore, we estimate the impact of artificial intelligence (AI) on jobs in China by determining substitution probability using a LightGBM-based prediction model. The results show that 54% of jobs in China would be substituted by AI in the following decades. Relatively speaking, unit heads are the safest jobs in China, whereas jobs intensive in perceptive and manipulative tasks are highly susceptible to substitution.",wos
li r;li c;guo sj,the impact of artificial intelligence on the labour market: evidence from china,amfiteatru economic,2024,Artificial intelligence; patents; labour market; employees,"The rapid advancement of artificial intelligence (AI) technology has been the driving force behind the new wave of technological revolution. In this study, we examine the impact of AI technology on corporate employment decisions. Using a sample of Chinese listed firms from 2012 to 2021, we find that AI technology applications have a positive influence on the total number of corporate employees. In addition, we find that this positive relationship is more pronounced in non-state-owned enterprises and in asset-light companies. Furthermore, our mechanism analysis indicates that AI technology has positive effects on corporate employment by increasing sales revenue and attenuating financial constraints. In general, our findings highlight the importance of AI technology to the labour market and have several implications for corporate employment decisions.",wos
ma s;liang a;shah s;smith ;jeong ;devon-sand ;crowell ;delahaie ;hsia ;lin ;shanafelt ;pfeffer m;sharp ;garcia p,ambient artificial intelligence scribes: utilization and impact on documentation time,journal of the american medical informatics association,2024,artificial intelligence; ambient intelligence; documentation; ambient scribes; informatics,"Objectives To quantify utilization and impact on documentation time of a large language model-powered ambient artificial intelligence (AI) scribe.Materials and Methods This prospective quality improvement study was conducted at a large academic medical center with 45 physicians from 8 ambulatory disciplines over 3 months. Utilization and documentation times were derived from electronic health record (EHR) use measures.Results The ambient AI scribe was utilized in 9629 of 17 428 encounters (55.25%) with significant interuser heterogeneity. Compared to baseline, median time per note reduced significantly by 0.57 minutes. Median daily documentation, afterhours, and total EHR time also decreased significantly by 6.89, 5.17, and 19.95 minutes/day, respectively.Discussion An early pilot of an ambient AI scribe demonstrated robust utilization and reduced time spent on documentation and in the EHR. There was notable individual-level heterogeneity.Conclusion Large language model-powered ambient AI scribes may reduce documentation burden. Further studies are needed to identify which users benefit most from current technology and how future iterations can support a broader audience.",wos
gao x;feng h,ai-driven productivity gains: artificial intelligence and firm productivity,sustainability,2023,artificial intelligence; productivity; total factor productivity; technological upgrading; labor force skills,"Artificial intelligence is profoundly influencing various facets of our lives, indicating its potential to significantly impact sustainability. Nevertheless, capturing the productivity gains stemming from artificial intelligence in macro-level data poses challenges, leading to the question of whether artificial intelligence is reminiscent of the Solow paradox. This study employs micro-level manufacturing data to investigate the impact of artificial intelligence on firms' productivity. The study finds that every 1% increase in artificial intelligence penetration can lead to a 14.2% increase in total factor productivity. This conclusion remains robust even after conducting endogeneity analysis and a series of robustness tests. The study identifies that the positive impact of artificial intelligence on productivity is primarily achieved through the value-added enhancement effect, skill-biased enhancement effect, and technology upgrading effect. Furthermore, the study reveals that the effects of artificial intelligence on productivity vary across different property rights and industry concentration contexts. Additionally, the structure of factor endowments within firms can also influence the productivity gains from artificial intelligence. Our study presents compelling evidence demonstrating the role of artificial intelligence in fostering economic sustainability within the framework of Industry 4.0.",wos
wu ;liu ;sun js,impact of artificial intelligence on carbon emission efficiency: evidence from china,environmental science and pollution research,2024,Artificial intelligence; Carbon emission efficiency; Global super-efficiency SBM model; STIRPAT model,"Artificial intelligence (AI) has been extensively used as a revolutionary and versatile technology in various fields. However, scholars have not given substantial consideration to the impact of AI on the environment, particularly carbon emission efficiency (CEE). This study adopts the global super-efficiency slacks-based model to evaluate CEE of 30 provinces in China from 2006 to 2019. Thereafter, the current study investigates the impact mechanism of AI on CEE using the stochastic impact of population, affluence, and technology (STIRPAT) model. The empirical analysis provides the following valuable research findings. First, AI, represented by industrial robots, can significantly improve CEE. Second, AI can enhance CEE by promoting technological innovation and upgrading industrial structures. Lastly, the relationship between AI and CEE is influenced by marketization and government intervention.",wos
polunina o,artificial intelligence: from popular myths to risk scenarios,proceedings of the 3rd european conference on the impact of artificial intelligence and robotics (eciair 2021),2021,artificial intelligence; risk scenarios; informational and psychological security; ICT; malicious use of artificial intelligence,"We are living in a world of complicated relations. And if we at least have learnt (but in fact we have not) how to build relationships with people around us, the relations within the paradigm of IoT are different, to put it mildly. The fact that there are more devices connected to the internet than people, or that these devices are able to communicate themselves not involving people, still seems unusual and exotic. In the sphere of the development of artificial intelligence (AI), things are far too complicated. To start with, AI has always been a controversial idea since it was first proposed. Ambitious goals and scientific challenges have attracted scientists from different fields. They started to conduct research with varying perspectives, interests and motivations, from mysteries of human thought to the design of intelligent, thinking machines. In other words, there has always been a controversy between conducting fundamental research and creating a functional device. What's more, most people are not familiar with the concept of AI. Quite a vivid example came from the USA: only 17% of senior business leaders out of 1,500 who were asked in 2017 were familiar with the concept, despite the fact that AI is penetrating and/or transforming every sphere of our life. These changes on one hand, and the lack of clear and understandable information on the other, are the main causes of the thriving myths and anxiety around the development of AI. The proposed paper addresses such issues as the popular myths around AI and their origin and aims at debunking them. However, while we are caught up with the myths, AI is already altering the world and raising important questions for society, the economy and governments. In this paper we will discuss highly likely risk scenarios in order to understand the chain of events, think of effective strategies and optimise the efforts.",wos
chen m;qi ;wu x,applications of artificial intelligence in oceanic nuclear contamination management,"2024 ieee conference on artificial intelligence, cai 2024",2024,Artificial Intelligence; Oceanic Nuclear Contamination,"Recently, nuclear pollution in the ocean has become a hot debate. The unprecedented advancement of Artificial Intelligence (AI) has engendered practical applications for addressing environmental issues such as nuclear contamination in oceans. AI algorithms and applications have been widely studied in multiple scientific fields, however, the research on marine science, especially oceanic nuclear contamination is limited. To fill in the gap in the related field, this paper introduces four major categories of AI technologies in oceanic nuclear contamination management, explores their applications in six companies/institutions across three leading countries, and compares the similarity and differences among them. It is found that UK, Japan, and China mainly use robots or drones for nuclear contamination management, and rely heavily on state fundings and the scientific output from research institutions. On the other hand, different countries have various objectives and motivations to drive AI in this area. What is more, we found that although most traditional big IT companies have not clearly stated the usage of AI in marine pollution, the need to diminish the impacts of nuclear pollution in oceans will inevitably urge new applications of AI in oceanic nuclear contamination.",wos
chen l;chen p;lin zj,artificial intelligence in education: a review,ieee access,2020,Education; Technological innovation; Learning (artificial intelligence); Microcomputers; Robots; Education; artificial intelligence; leaner,"The purpose of this study was to assess the impact of Artificial Intelligence (AI) on education. Premised on a narrative and framework for assessing AI identified from a preliminary analysis, the scope of the study was limited to the application and effects of AI in administration, instruction, and learning. A qualitative research approach, leveraging the use of literature review as a research design and approach was used and effectively facilitated the realization of the study purpose. Artificial intelligence is a field of study and the resulting innovations and developments that have culminated in computers, machines, and other artifacts having human-like intelligence characterized by cognitive abilities, learning, adaptability, and decision-making capabilities. The study ascertained that AI has extensively been adopted and used in education, particularly by education institutions, in different forms. AI initially took the form of computer and computer related technologies, transitioning to web-based and online intelligent education systems, and ultimately with the use of embedded computer systems, together with other technologies, the use of humanoid robots and web-based chatbots to perform instructors' duties and functions independently or with instructors. Using these platforms, instructors have been able to perform different administrative functions, such as reviewing and grading students' assignments more effectively and efficiently, and achieve higher quality in their teaching activities. On the other hand, because the systems leverage machine learning and adaptability, curriculum and content has been customized and personalized in line with students' needs, which has fostered uptake and retention, thereby improving learners experience and overall quality of learning.",wos
kshetri n,generative artificial intelligence and e-commerce,computer,2024,Artificial intelligence; Electronic commerce; Generative adversarial networks; Market research; Consumer behavior,"This article explores how generative artificial intelligence (GAI) is transforming e-commerce, with major players and startups integrating such applications. It discusses GAI's impact on organizational structure, search costs, and consumer buying decisions.",wos
liu ;jiang ;shi m;yang yn,impact of artificial intelligence on manufacturing industry global value chain position,sustainability,2024,artificial intelligence; manufacturing industry; global value chain position,"Using transnational panel data from 61 nations and regions from 2000 to 2019, this article empirically examines both the influence of artificial intelligence on the Global Value Chain as it pertains to the manufacturing industry and its mechanism of action. According to the report, AI significantly improves the industrial sector's GVC position; this finding still holds after multiple robustness and endogeneity tests of the model. The findings of the heterogeneity test at the national level demonstrate that, in developing nations as opposed to developed countries, AI has a stronger impact on advancing the GVC position of the manufacturing industry. Heterogeneity tests at the industry level show that AI has a significant role in promoting the GVC of high, medium and low technology manufacturing industries. The mechanism test demonstrates three primary ways by which AI contributes to improving the GVC position of the manufacturing industry: by improving both production efficiency and technological innovation capacity, and by reducing trade costs. This study provides policy implications for the promotion of AI with respect to China's manufacturing industry GVC position.",wos
liu j;kong x;xia ;bai x;wang ;qing ;lee i,artificial intelligence in the 21st century,ieee access,2018,Artificial intelligence; data analytics; scientific impact; science of science; data science,"The field of artificial intelligence (AI) has shown an upward trend of growth in the 21st century (from 2000 to 2015). The evolution in AI has advanced the development of human society in our own time, with dramatic revolutions shaped by both theories and techniques. However, the multidisciplinary and fastgrowing features make AI a field in which it is difficult to be well understood. In this paper, we study the evolution of AI at the beginning of the 21st century using publication metadata extracted from 9 top-tier journals and 12 top-tier conferences of this discipline. We find that the area is in the sustainable development and its impact continues to grow. From the perspective of reference behavior, the decrease in self-references indicates that the AI is becoming more and more open-minded. The influential papers/researchers/institutions we identified outline landmarks in the development of this field. Last but not least, we explore the inner structure in terms of topics' evolution over time. We have quantified the temporal trends at the topic level and discovered the inner connection among these topics. These findings provide deep insights into the current scientific innovations, as well as shedding light on funding policies.",wos
williams ;berman ;michalska s,investigating hybridity in artificial intelligence research,big data & society,2023,Artificial intelligence; hybridity; knowledge production; research value; bibliometrics,"Research in the global field of artificial intelligence is increasingly hybrid in orientation. Researchers are beholden to the requirements of multiple intersecting spheres, such as scholarly, public, and commercial, each with their own language and logic. Relatedly, collaboration across disciplinary, sector and national borders is increasingly expected, or required. Using a dataset of 93,482 artificial intelligence publications, this article operationalises scholarly, public, and commercial spheres through citations, news mentions, and patent mentions, respectively. High performing publications (99th percentile) for each metric were separated into eight categories of influence. These comprised four blended categories of influence (news, patents and citations; news and patents; news and citations; patents and citations) and three single categories of influence (citations; news; patents), in addition to the 'Other' category of non-high performing publications. The article develops and applies two components of a new hybridity lens: evaluative hybridity and generative hybridity. Using multinomial logistic regression, selected aspects of knowledge production - research context, focus, artefacts, and collaborative configurations - were examined. The results elucidate key characteristics of knowledge production in the artificial intelligence field and demonstrate the utility of the proposed lens.",wos
belgaum m;musa ;alam m;alansari ;mazliham ms,impact of artificial intelligence-enabled software-defined networks in infrastructure and operations: trends and challenges,international journal of advanced computer science and applications,2021,Artificial intelligence; infrastructure and operations; software-defined network; virtualization,"The emerging technologies trending up in information and communication technology are tuning the enterprises for betterment. The existing infrastructure and operations (I&O) are supporting enterprises with their services and functionalities, considering the diverse requirements of the end-users. However, they are not free of the challenges and issues to address as the technology has advanced. This paper explains the impact of artificial intelligence (AI) in the enterprises using software-defined networking (SDN) in I&O. The fusion of artificial intelligence with software-defined networking in infrastructure and operations enables to automate the process based on experience and provides opportunities to the management to make quick decisions. But this fusion has many challenges to be addressed. This research aimed to discuss the trends and challenges impacting infrastructure and operations, and the role of AI-enabled SDN in I&O and discusses the benefits it provides that influence the directional path. Furthermore, the challenges to be addressed in implementing the AI-enabled SDN in I&O shows future directions to explore.",wos
chen y;ahn m;wang yf,artificial intelligence and public values: value impacts and governance in the public sector,sustainability,2023,artificial intelligence systems; public values; governance,"While there has been growth in the literature exploring the governance of artificial intelligence (AI) and recognition of the critical importance of guiding public values, the literature lacks a systematic study focusing on public values as well as the governance challenges and solutions to advance these values. This article conducts a systematic literature review of the relationships between the public sector AI and public values to identify the impacts on public values and the governance challenges and solutions. It further explores the perspectives of U.S. government employees on AI governance and public values via a national survey. The results suggest the need for a broad inclusion of diverse public values, the salience of transparency regarding several governance challenges, and the importance of stakeholder participation and collaboration as governance solutions. This article also explores and reports the nuances in these results and their practical implications.",wos
zhang y;xiong ;xie ;fan ;gu hf,the impact of artificial intelligence and blockchain on the accounting profession,ieee access,2020,Big Data; Blockchain; Machine learning; Finance; Accounting profession; artificial intelligence; big data; blockchain; machine learning,"Recent developments in technology have introduced dramatic changes to the practice of the accounting profession. This paper provides a comprehensive review of current developments in big data, machine learning, artificial intelligence, and blockchain utilized in general business practice and by specialized practitioners in the accounting profession worldwide. This paper explores the evolution of the accounting profession following these recent technological developments and assesses the impact of future developments. Inherent challenges and opportunities posed by these new technologies pertaining to accounting professionals and accounting educators are also examined, including an increased demand for IT professionals with accounting experience as opposed to accounting major graduates. Considering the dramatic changes and developments of AI applications in accounting, this paper reflects how all these technologies and the associated requirements of job candidates will affect the desired capabilities of accounting graduates and provides further discussion regarding what higher institutions and their accounting graduates can do to adopt such changes.",wos
zhong ;she j;wu xj,tech for social good: artificial intelligence and workplace safety,technology in society,2024,Artificial intelligence; Heinrich's domino theory; Workplace safety; Military CEOs; Foreign shareholders,"The impact of artificial intelligence on the interests of corporate shareholders has been widely explored, but how it affects the interests of employees, particularly their workplace safety, has not yet been explored properly. This study examines the impact of artificial intelligence on workplace safety by applying Heinrich's domino theory. Using empirical data from listed companies in China from 2011 to 2022, we find that artificial intelligence will improve workplace safety. We attribute this to the fact that artificial intelligence reduces employees' unsafe behavior and suppresses the unsafe state of objects, which in turn promotes workplace safety. In addition, we find that military CEOs enhance the relationship, but foreign shareholders have no effect on it. Further tests show that the role of artificial intelligence in improving workplace safety is more pronounced in SOEs and firms that disclose corporate social responsibility (CSR). By incorporating Heinrich's domino theory, we provide new insights into the literature on artificial intelligence and workplace safety and new insights for governments and firms to improve workplace safety.",wos
danese ;kale a;aslam ;lanzetta ;barratt ;chou y;eldem ;eter ;gale ;korobelnik j;kozak ;li x;li x;loewenstein ;ruamviboonsuk ;sakamoto ;ting ds;van wijngaarden ;waldstein s;wong d;wu l;zapata m;zarranz-ventura j,the impact of artificial intelligence on retinal disease management: vision academy retinal expert consensus,current opinion in ophthalmology,2023,artificial intelligence; disease management; retina,"Purpose of reviewThe aim of this review is to define the state-of-the-art in artificial intelligence (AI)-enabled devices that support the management of retinal conditions and to provide Vision Academy recommendations on the topic.Recent findingsMost of the AI models described in the literature have not been approved for disease management purposes by regulatory authorities. These new technologies are promising as they may be able to provide personalized treatments as well as a personalized risk score for various retinal diseases. However, several issues still need to be addressed, such as the lack of a common regulatory pathway and a lack of clarity regarding the applicability of AI-enabled medical devices in different populations.It is likely that current clinical practice will need to change following the application of AI-enabled medical devices. These devices are likely to have an impact on the management of retinal disease. However, a consensus needs to be reached to ensure they are safe and effective for the overall population.",wos
lópez-villanueva ;santiago ;palau r,flipped learning and artificial intelligence,electronics,2024,flipped learning; artificial intelligence; AIEd; AIge,"The recent emergence of Artificial Intelligence (AI) has the potential to influence the teaching-learning process. Some of the most used pedagogical approaches of the last decade have been Flipped Classroom and Flipped Learning. This article explores the intersection between Flipped Learning and AI through qualitative research based on interviews with international experts in the field. The results reveal the significant impact of AI on education, highlighting how AI tools are transforming teaching and learning methodologies. Additionally, the evolution of Flipped Learning with the integration of AI is analyzed, showing how this combination enhances personalized learning and improves student engagement. Finally, the role of the teacher in this new educational paradigm is discussed, emphasizing the need for continuous adaptation and the development of new competencies to fully leverage emerging technologies. With this study, we aim to provide an overview of the opportunities and challenges that AI presents in the context of Flipped Learning.",wos
lee c;yan j;wang fh,impact of population aging on food security in the context of artificial intelligence: evidence from china,technological forecasting and social change,2024,Artificial intelligence; Rural population aging; Food security; Major grain-selling areas; Moderating effect model,"As population aging becomes the new demographic norm in China, its workforce structure is changing, and its demographic dividend is about to disappear. Artificial intelligence (AI) has been experiencing rapid progress in the last few years, and it is becoming an important tool to address the impact and challenges of an aging population. Therefore, this research introduces population aging and artificial intelligence into agricultural production, focusing on the effects of population aging on food security and the function played by artificial intelligence in it. From an empirical study conducted based on provincial panel data, the following conclusions arise. First, population aging in rural China has not negatively impacted food security, so there is no need to be overly pessimistic about the inevitable aging of the rural population. Second, AI has a favorable moderating function on the effects of population aging on food security. Third, the moderating effect of AI is heterogeneous. Compared with other provinces, AI can play a strongly positive moderating effect in central and west regions and major grain-selling areas. Based on the above findings, this paper proposes targeted policy recommendations on protecting food security in the context of artificial intelligence and population aging.",wos
